['575', '730', '1', '489', '447', '450', '552', '599', '262', '682']
['753', '141', '364', '629', '208', '785', '330', '205', '248', '699']
['191', '28', '670', '70', '616', '121', '840', '820', '169', '352']
['379', '421', '327', '638', '232', '146', '592', '245', '32', '577']
['182', '641', '481', '646', '672', '591', '725', '401', '226', '376']
['142', '554', '310', '568', '827', '695', '322', '202', '499', '119']
['83', '831', '63', '260', '2', '184', '507', '626', '252', '645']
['605', '231', '94', '751', '415', '293', '140', '228', '26', '190']
['86', '600', '796', '414', '257', '569', '24', '478', '492', '303']
['403', '301', '824', '378', '280', '617', '22', '825', '544', '40']
['74', '249', '168', '143', '518', '163', '836', '162', '701', '654']
['201', '497', '73', '659', '255', '45', '561', '473', '636', '624']
['509', '240', '177', '224', '512', '784', '519', '359', '816', '464']
['4', '296', '317', '7', '705', '172', '491', '267', '276', '665']
['176', '754', '529', '3', '111', '748', '743', '690', '791', '750']
['628', '139', '581', '79', '658', '31', '294', '84', '456', '744']
['537', '131', '614', '243', '541', '608', '377', '787', '574', '564']
['434', '361', '68', '225', '691', '496', '383', '266', '300', '256']
['739', '779', '353', '582', '462', '340', '418', '708', '258', '312']
['346', '723', '313', '612', '71', '466', '486', '277', '838', '282']
['451', '567', '841', '678', '746', '813', '180', '332', '627', '549']
['657', '667', '550', '189', '82', '538', '651', '9', '14', '212']
['274', '365', '455', '652', '640', '204', '199', '806', '834', '733']
['76', '306', '619', '453', '360', '448', '650', '809', '790', '656']
['220', '837', '662', '241', '38', '643', '238', '173', '351', '335']
['503', '61', '411', '522', '500', '783', '350', '337', '67', '298']
['394', '773', '615', '150', '565', '291', '449', '621', '422', '505']
['117', '487', '324', '572', '797', '771', '747', '102', '803', '514']
['794', '166', '354', '165', '772', '103', '130', '485', '279', '174']
['393', '467', '289', '446', '675', '632', '556', '788', '588', '30']
['693', '192', '287', '384', '731', '778', '719', '404', '283', '8']
['590', '100', '108', '821', '584', '193', '461', '531', '286', '196']
['720', '728', '270', '272', '548', '115', '631', '663', '470', '230']
['468', '498', '110', '702', '123', '104', '97', '138', '683', '244']
['781', '814', '533', '763', '405', '722', '413', '273', '207', '570']
['77', '469', '333', '320', '586', '553', '263', '688', '757', '132']
['135', '253', '5', '213', '687', '19', '523', '756', '798', '233']
['703', '349', '545', '721', '275', '576', '479', '476', '607', '540']
['680', '10', '0', '679', '91', '388', '758', '318', '742', '170']
['348', '48', '105', '611', '714', '830', '811', '41', '727', '789']
['594', '342', '685', '543', '737', '648', '88', '101', '532', '116']
['295', '692', '336', '423', '254', '596', '674', '72', '222', '250']
['839', '34', '571', '460', '745', '49', '81', '188', '95', '741']
['766', '443', '560', '810', '706', '311', '634', '799', '598', '717']
['835', '366', '557', '726', '387', '432', '844', '769', '126', '167']
['620', '29', '80', '181', '712', '842', '203', '218', '17', '555']
['316', '775', '269', '765', '454', '44', '356', '389', '438', '51']
['802', '129', '402', '710', '424', '623', '52', '767', '206', '622']
['185', '54', '15', '477', '133', '42', '843', '429', '780', '412']
['334', '21', '520', '158', '792', '459', '159', '527', '642', '677']
['47', '315', '606', '752', '237', '426', '833', '579', '707', '431']
['268', '271', '517', '630', '516', '709', '60', '137', '805', '122']
['812', '16', '331', '504', '308', '154', '6', '573', '18', '832']
['593', '285', '261', '144', '134', '369', '178', '417', '668', '777']
['343', '214', '58', '358', '344', '804', '398', '471', '370', '211']
['236', '625', '711', '223', '603', '782', '818', '716', '195', '372']
['375', '319', '155', '338', '235', '416', '164', '738', '673', '20']
['444', '482', '53', '734', '587', '118', '305', '62', '502', '171']
['671', '367', '106', '50', '309', '265', '524', '559', '64', '92']
['435', '698', '209', '59', '55', '433', '355', '246', '472', '239']
['297', '649', '127', '93', '815', '357', '396', '475', '229', '602']
['508', '490', '807', '610', '153', '27', '390', '764', '347', '441']
['368', '264', '427', '526', '299', '563', '259', '732', '535', '85']
['120', '161', '774', '718', '371', '183', '585', '147', '242', '551']
['151', '128', '823', '736', '761', '400', '562', '12', '210', '363']
['583', '328', '381', '57', '339', '515', '194', '43', '786', '112']
['817', '530', '676', '729', '684', '397', '689', '666', '247', '724']
['440', '157', '436', '483', '251', '637', '589', '87', '78', '494']
['56', '808', '822', '39', '36', '661', '613', '511', '75', '480']
['419', '463', '148', '759', '284', '221', '329', '175', '89', '713']
['345', '302', '385', '341', '653', '601', '65', '513', '13', '597']
['644', '655', '474', '326', '488', '362', '307', '374', '96', '420']
['604', '647', '392', '290', '740', '749', '430', '793', '776', '801']
['156', '114', '609', '521', '445', '501', '304', '437', '186', '216']
['510', '795', '69', '484', '428', '109', '800', '323', '197', '762']
['546', '618', '395', '373', '187', '124', '442', '439', '66', '227']
['386', '160', '525', '145', '457', '408', '595', '578', '528', '735']
['829', '536', '278', '321', '35', '694', '98', '391', '506', '410']
['382', '819', '219', '11', '633', '37', '580', '715', '33', '217']
['696', '292', '399', '493', '314', '697', '547', '179', '566', '288']
['669', '660', '452', '558', '90', '215', '686', '700', '46', '23']
['828', '465', '770', '152', '380', '458', '25', '635', '281', '200']
['425', '99', '539', '136', '704', '664', '234', '542', '760', '409']
['325', '534', '125', '826', '107', '639', '149', '406', '768', '198']
